PLAYER,TEAM,POSITION,MINUTES,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total
Mitchell Robinson,Knicks,C,1889 ,0.0 ,2.5 ,2.5 ,3.2 ,1.2 ,4.4 ,0.7 ,2.3 ,3.0 ,5.5 
Clint Capela,Hawks,C,1881 ,0.2 ,3.3 ,3.4 ,2.1 ,-2.1 ,0.0 ,0.6 ,2.4 ,2.9 ,5.4 
Herbert Jones,Pelicans,"SG, SF, PF",1951 ,-1.5 ,3.7 ,2.2 ,2.4 ,2.0 ,4.4 ,-0.8 ,3.5 ,2.7 ,5.4 
Julius Randle,Knicks,PF,3067 ,1.9 ,-0.9 ,1.0 ,2.1 ,-2.3 ,-0.2 ,2.0 ,-1.3 ,0.8 ,5.4 
Donte DiVincenzo,Warriors,SG,2129 ,0.0 ,2.5 ,2.5 ,-1.6 ,1.6 ,0.0 ,-0.3 ,2.5 ,2.1 ,5.3 
Rudy Gobert,Timberwolves,C,2325 ,-1.6 ,3.8 ,2.2 ,-1.7 ,1.3 ,-0.4 ,-1.7 ,3.5 ,1.8 ,5.3 
Walker Kessler,Jazz,C,1703 ,0.1 ,3.2 ,3.3 ,1.3 ,1.5 ,2.7 ,0.3 ,3.1 ,3.4 ,5.3 
Luguentz Dort,Thunder,"PG, SG",2272 ,-1.3 ,3.0 ,1.8 ,1.2 ,-0.3 ,0.9 ,-0.8 ,2.5 ,1.7 ,5.2 
Alperen Sengun,Rockets,C,2171 ,-0.3 ,2.4 ,2.1 ,3.5 ,-3.7 ,-0.2 ,0.6 ,1.3 ,1.9 ,5.2 
O.G. Anunoby,Raptors,SF,2386 ,-0.9 ,1.9 ,1.0 ,-0.2 ,2.8 ,2.6 ,-0.8 ,2.2 ,1.4 ,5.1 
Caris LeVert,Cavaliers,"SG, SF",2407 ,0.2 ,1.5 ,1.7 ,-2.7 ,2.3 ,-0.5 ,-0.4 ,1.7 ,1.3 ,5.0 
Chris Paul,Suns,PG,2139 ,2.4 ,-0.5 ,1.9 ,0.7 ,0.7 ,1.4 ,2.2 ,-0.3 ,1.9 ,5.0 
Jarrett Allen,Cavaliers,C,2411 ,-1.3 ,1.6 ,0.3 ,3.3 ,1.7 ,5.0 ,-0.5 ,1.7 ,1.2 ,4.9 
